01-01	Национальный день похмелья
01-02	День оливье
01-02	День хлопушек и фейерверков
01-03	День русской Матрёшки
01-03	День катания на санках
01-03	День мандаринок
01-03	День рождения соломинки для коктейлей
01-04	День зимних сладостей
01-05	Международный разгрузочный день
01-05	День бенгальских огней
01-05	День похода на елку
01-08	День календаря
01-09	День Рождения Снеговика
01-09	День игры в снежки
01-09	День игры в прятки с зимой
01-11	Международный день «спасибо»
01-12	День Снежной Королевы
01-13	День случайных попутчиков
01-15	День горячей ванны
01-17	День творчества и вдохновения
01-18	День вьюги
01-20	День сосулек
01-23	День снежных сугробов
01-24	День рождения баночного пива
01-25	День счастливых снеговиков
01-29	День пряничного домика
01-30	День деда Мороза и Снегурки
01-31	День рисования солнца на снегу
02-02	Сегодня День «Ы»
02-03	Всемирный День борьбы с ненормативной лексикой
02-04	День рождения резиновых калош
02-05	День разукрашивания планов на будущее
02-05	День Снегопада
02-07	День варенья
02-08	День подбрасывания монетки
02-09	День пиццы
02-10	День домового
02-10	День рассматривания лиц
02-15	День завязывания узелков на счастье
02-16	День валенок
02-18	День пельменей
02-20	День леденцовых петушков
02-20	День профессионального алкоголика
02-22	День приманивания хорошего настроения
02-23	День сражений подушками
02-24	День прогулки по зимнему лесу
02-26	День неторопливости
02-26	День поиска норы спящего лета
02-27	День оптимиста
02-27	Всемирный день полярного медведя
03-01	Всемирный день пива
03-01	День комплимента
03-02	День считания ворон
03-03	День ожидания чуда
03-07	День тюльпанов
03-09	День шоколадного торта
03-09	День выметания скверных мыслей
03-10	День резиновых сапог
03-10	Международный день крутизны
03-12	День выметания скверных мыслей (день запрета на уныние)
03-13	День заглядывания в замочные скважины
03-14	День мимозы
03-14	День безобразно хорошего настроения
03-16	День цветных карандашей
03-20	Международный день счастья
03-24	День пробуждения медведя
03-27	Международный день виски
03-31	День первого весеннего солнышка
04-01	День смеха
04-01	Пробуждение Домового
04-03	День водяного
04-03	Всемирный день вечеринки
04-06	День мультфильмов
04-16	Всемирный день голоса
04-19	День путешествующей улыбки
04-19	День подснежника
04-20	День поисков смысла жизни
04-21	День чемоданов
04-24	День кофе
04-26	День дачного сезона
05-02	День садовода
05-02	День кондитера
05-03	День солнца
05-04	День красивых признаний в любви
05-04	День Звездных войн
05-06	Международный день против диеты
05-07	День бумажных самолетиков
05-08	День сирени
05-11	День глаженых шнурков
05-11	Национальный день, когда можно есть то, что хочется
05-15	День лакоманьяка
05-18	День Розовой Пантеры
05-19	День русской печки
05-22	Всемирный день готов
05-22	День суши и роллов
05-25	День полотенца
05-27	День смелых решений
06-03	День вспоминания о снеге
06-05	День резиновых уточек в ванной
06-09	День пускания мыльных пузырей
06-10	День мороженого
06-15	День ветра
06-16	День чекушки
06-17	День русского кваса
06-18	День клубники
06-19	День наблюдения за облаками
06-19	День бабочек
06-20	День мыльных пузырей
06-21	День селфи
06-23	День балалайки
06-30	День астероида
07-02	День сюрпризов
07-04	День отдыха от праздников
07-10	День розы
07-11	Всемирный день шоколада
07-17	День зеленых глаз
07-17	Всемирный день эмоджи (эмодзи)
07-18	День прогулок под дождем
07-18	День голубых глаз
07-19	День пирожков с вареньем
07-22	День толстяка и толстушки
07-22	День трудяги
07-23	День дачника
07-24	День горячего песка
07-25	День малинки
07-26	День дяди и тети
07-26	День загадывания загадок
07-28	День загадывания желаний
07-29	День персика
07-31	День вспоминания любимых книжек
08-01	День подруги
08-03	День арбуза
08-04	День качания на качелях
08-05	Международный день светофора
08-06	День грибного дождя
08-07	День собирания звёзд
08-09	День книголюбов
08-10	День попутного ветра
08-11	День белого гриба
08-12	День встреченного рассвета
08-16	День малинового варенья
08-18	День смеющихся ангелов
08-19	День рождения русской тельняшки
08-20	День Чебурашки
08-20	День музыкальных шкатулок
08-20	День кукурузы
08-24	День валяния в стоге сена
08-24	День жажды
08-25	День лазанья по деревьям
08-25	День рождения консервной банки
08-26	День радуги
08-26	День устраивания секретиков
08-27	День созвездий
08-28	День второй половинки
08-31	День шепота травы
09-04	День овощей
09-06	День полетов над землей
09-07	День сбора грибов
09-09	День изобретения новых привычек
09-10	День разноцветных букетов
09-11	Праздник ласкового обращения
09-11	Всероссийский День Трезвости
09-13	День положительных эмоций
09-15	День худеющих
09-17	Международный день Гнома
09-19	День рождения «Смайлика»
09-20	День устраивания спонтанных чаепитий
09-23	День похода в театр
09-24	День незапланированных безумств
09-25	День тикающих часов
09-25	День комиксов
09-26	День встречи со старыми друзьями
10-02	День рождения электронной почты
10-03	День грибника
10-03	Всемирный день трезвости и борьбы с алкоголизмом
10-06	Всемирный день улыбки (в 1-ю пятницу октября)
10-08	День солнечных улыбок
10-10	День шуршания листьями
10-12	День закрытия дачного сезона
10-14	День рождения Винни-Пуха
10-15	День собирания осенних листьев
10-18	День конфет
10-19	День написания письма в будущее
10-19	День кучерявых
10-20	День пополнения запасов на зиму
10-21	День лабиринта
10-21	День яблока
10-23	День зонтиков
10-24	День любви к теплым (вязаным) носкам
10-26	Праздник приятных неожиданностей
10-27	День сновидений
10-28	День домашнего печенья
10-29	День подушки
10-30	Ночь шалостей
10-30	Международный день карих глаз
11-01	День гадания на кофейной гуще
11-03	День оладушек
11-05	День варенья
11-05	День рассматривания старых фотографий
11-10	День борща
11-11	День написания бумажных писем
11-13	День рождения сосиски
11-17	День белочки
11-18	День рождения Деда Мороза
11-19	Всемирный день туалета
11-20	День трамвайных поездок
11-23	День вставания с той ноги
11-24	День угощения домовых молоком
11-24	День эволюции
11-25	День домашней кухни
11-29	День Буквы «Ё»
11-30	День читателя
12-03	День положительных ответов
12-04	День написания писем Деду Морозу
12-05	Всемирный день сюрпризов
12-07	День собутыльника
